[CodeSkeptic] Analysis starting... (12 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
[CodeSkeptic] Analysis starting... (1 files, 12 rules)
